4.84442s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.85367s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.86292s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.87217s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.88141s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.89066s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.89991s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.90916s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.91841s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.92765s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.9369s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.94615s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.9554s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.96465s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.97389s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.98314s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
4.99239s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
5.00164s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
5.01089s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
5.02013s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
5.02938s 2 RttEstimator:Measurement(0x7faf0a4711e0, +286687938.0ns)
